===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.235    0.235 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/conveyor.py:1312(_instance_ids_by_spec)
        1    0.000    0.000    0.235    0.235 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/boundary.py:175(resolve_component_alphas)
       33    0.002    0.000    0.228    0.007 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/boundary.py:72(_contact_candidates)
9486/3857    0.014    0.000    0.146    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/cache.py:69(wrapper)
1961/1893    0.002    0.000    0.142    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/decorators.py:236(_func)
1961/1893    0.001    0.000    0.140    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/decorators.py:111(binary_op_wrapper)
  1710421    0.103    0.000    0.103    0.000 {built-in method builtins.abs}
  956/810    0.008    0.000    0.092    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:62(__new__)
   211/58    0.002    0.000    0.067    0.001 /usr/local/lib/python3.11/dist-packages/sympy/core/power.py:136(__new__)
  587/581    0.017    0.000    0.064    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:205(flatten)
       93    0.000    0.000    0.062    0.001 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:287(__truediv__)
3311/1977    0.002    0.000    0.052    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/decorators.py:69(__sympifyit_wrapper)
      165    0.001    0.000    0.049    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/metric.py:328(dot_g)
     1199    0.001    0.000    0.047    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:251(__mul__)
      601    0.001    0.000    0.043    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/planar_types.py:222(exact_sign)
      234    0.001    0.000    0.042    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/planar_types.py:195(_certified_interval_sign)
1625/1477    0.003    0.000    0.038    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1489(__mul__)
  956/234    0.003    0.000    0.033    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/planar_types.py:162(interval_enclosure)
     1139    0.001    0.000    0.033    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:476(__mul__)
      491    0.001    0.000    0.032    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/planar_types.py:62(exact_normalize)
      265    0.001    0.000    0.031    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polytools.py:6644(factor)
      265    0.002    0.000    0.031    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polytools.py:6410(_generic_factor)
       76    0.000    0.000    0.025    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:184(could_extract_minus_sign)
1665/1659    0.001    0.000    0.025    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/assumptions.py:497(getit)
       51    0.000    0.000    0.022    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:737(_eval_power)
      201    0.003    0.000    0.022    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/add.py:197(flatten)
     1531    0.006    0.000    0.021    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/ctx_iv.py:413(convert)
      265    0.001    0.000    0.020    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polytools.py:6351(_symbolic_factor)
      542    0.000    0.000    0.020    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/expr.py:231(__add__)
    30192    0.020    0.000    0.020    0.000 {built-in method math.gcd}
       33    0.000    0.000    0.018    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/metric.py:350(length_g)
      966    0.000    0.000    0.017    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/ctx_iv.py:43(__new__)



===== QUEUE_COVERAGE A_field_d0 outcome=EXACT — TOTTIME =====
         2172898 function calls (2161476 primitive calls) in 1.707 seconds

   Ordered by: internal time
   List reduced from 428 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    1.332    0.021    1.458    0.023 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:111(_pollard_rho_brent_attempt)
  1710421    0.103    0.000    0.103    0.000 {built-in method builtins.abs}
    30192    0.020    0.000    0.020    0.000 {built-in method math.gcd}
  587/581    0.017    0.000    0.064    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/mul.py:205(flatten)
9486/3857    0.014    0.000    0.146    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/cache.py:69(wrapper)
  956/810    0.008    0.000    0.092    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:62(__new__)
      159    0.008    0.000    0.016    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:599(deduce_all_facts)
       47    0.006    0.000    0.009    0.000 /usr/local/lib/python3.11/dist-packages/sympy/ntheory/factor_.py:1045(_trial)
    52942    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     1531    0.006    0.000    0.021    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/ctx_iv.py:413(convert)
    27105    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     6136    0.005    0.000    0.010    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/sympify.py:124(sympify)
     5888    0.004    0.000    0.007    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:546(__hash__)
11293/10041    0.004    0.000    0.006    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/basic.py:315(__hash__)
      265    0.004    0.000    0.007    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polyoptions.py:131(__init__)
    12540    0.003    0.000    0.004    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:633(<genexpr>)
     5888    0.003    0.000    0.010    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1697(__hash__)
     3360    0.003    0.000    0.007    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/libmp/libmpf.py:291(from_man_exp)
      201    0.003    0.000    0.022    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/add.py:197(flatten)
     7389    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     4837    0.003    0.000    0.012    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/sympify.py:514(_sympify)
1625/1477    0.003    0.000    0.038    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1489(__mul__)
     2336    0.003    0.000    0.008    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1374(_new)
  956/234    0.003    0.000    0.033    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/planar_types.py:162(interval_enclosure)
1296/1168    0.003    0.000    0.016    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1927(__mul__)
     3218    0.002    0.000    0.002    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/libmp/libmpf.py:153(_normalize)
    10053    0.002    0.000    0.002    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/facts.py:582(_tell)
    32185    0.002    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/sympy/ntheory/generate.py:188(primerange)
      265    0.002    0.000    0.009    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polytools.py:6290(_symbolic_factor_list)
     7663    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
3311/1977    0.002    0.000    0.052    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/decorators.py:69(__sympifyit_wrapper)
    17979    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
   211/58    0.002    0.000    0.067    0.001 /usr/local/lib/python3.11/dist-packages/sympy/core/power.py:136(__new__)
     2356    0.002    0.000    0.010    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/numbers.py:1622(__eq__)
     1138    0.002    0.000    0.005    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/intfunc.py:162(igcd)
     3026    0.002    0.000    0.003    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/basic.py:288(__new__)
      265    0.002    0.000    0.031    0.000 /usr/local/lib/python3.11/dist-packages/sympy/polys/polytools.py:6410(_generic_factor)
     2594    0.002    0.000    0.008    0.000 /usr/local/lib/python3.11/dist-packages/mpmath/ctx_iv.py:30(convert_mpf_)
     2023    0.002    0.000    0.002    0.000 /usr/lib/python3.11/fractions.py:62(__new__)
      525    0.002    0.000    0.002    0.000 {built-in method builtins.pow}



===== QUEUE_CONTOUR A_field_d0 faces=5 — CUMULATIVE =====
         1797314 function calls (1797290 primitive calls) in 1.506 seconds

   Ordered by: cumulative time
   List reduced from 144 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.507    1.507 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:860(build_queue_domain)
